Sample in Buffer,Sample in Window,TRIGGER,t1/char_op1[7:0],t1/char_op2[7:0],t1/print[3:0]
115,115,0,00,00,a
116,116,0,00,00,a
117,117,0,00,00,a
118,118,0,00,00,a
119,119,0,00,00,a
120,120,0,00,00,a
121,121,0,00,00,a
122,122,0,00,00,a
123,123,0,00,00,a
124,124,0,00,00,a
125,125,0,00,00,a
126,126,0,00,00,a
127,127,0,00,00,a
128,128,0,00,00,a
129,129,0,00,00,a
130,130,0,00,00,a
131,131,0,00,00,a
132,132,0,00,00,a
133,133,0,00,00,a
134,134,0,00,00,a
135,135,0,00,00,a
136,136,0,00,00,a
137,137,0,00,00,a
138,138,0,00,00,a
139,139,0,00,00,a
140,140,0,00,00,a
141,141,0,00,00,a
142,142,0,00,00,a
143,143,0,00,00,a
144,144,0,00,00,a
145,145,0,00,00,a
146,146,0,00,00,a
147,147,0,00,00,a
148,148,0,00,00,a
149,149,0,00,00,a
150,150,0,00,00,a
151,151,0,00,00,a
152,152,0,00,00,a
153,153,0,00,00,a
154,154,0,00,00,a
155,155,0,00,00,a
156,156,0,00,00,a
157,157,0,00,00,a
158,158,0,00,00,a
159,159,0,00,00,a
160,160,0,00,00,a
161,161,0,00,00,a
162,162,0,00,00,a
163,163,0,00,00,a
164,164,0,00,00,a
165,165,0,00,00,a
166,166,0,00,00,a
167,167,0,00,00,a
168,168,0,00,00,a
169,169,0,00,00,a
170,170,0,00,00,a
171,171,0,00,00,a
172,172,0,00,00,a
173,173,0,00,00,a
174,174,0,00,00,a
175,175,0,00,00,a
176,176,0,00,00,a
177,177,0,00,00,a
178,178,0,00,00,a
179,179,0,00,00,a
180,180,0,00,00,a
181,181,0,00,00,a
182,182,0,00,00,a
183,183,0,00,00,a
184,184,0,00,00,a
185,185,0,00,00,a
186,186,0,00,00,a
187,187,0,00,00,a
188,188,0,00,00,a
189,189,0,00,00,a
190,190,0,00,00,a
191,191,0,00,00,a
192,192,0,00,00,a
193,193,0,00,00,a
194,194,0,00,00,a
195,195,0,00,00,a
196,196,0,00,00,a
197,197,0,00,00,a
198,198,0,00,00,a
199,199,0,00,00,a
200,200,0,00,00,a
201,201,0,00,00,a
202,202,0,00,00,a
203,203,0,00,00,a
204,204,0,00,00,a
205,205,0,00,00,a
206,206,0,00,00,a
207,207,0,00,00,a
208,208,0,00,00,a
209,209,0,00,00,a
210,210,0,00,00,a
211,211,0,00,00,a
212,212,0,00,00,a
213,213,0,00,00,a
214,214,0,00,00,a
215,215,0,00,00,a
216,216,0,00,00,a
217,217,0,00,00,a
218,218,0,00,00,a
219,219,0,00,00,a
220,220,0,00,00,a
221,221,0,00,00,a
222,222,0,00,00,a
223,223,0,00,00,a
224,224,0,00,00,a
225,225,0,00,00,a
226,226,0,00,00,a
227,227,0,00,00,a
228,228,0,00,00,a
229,229,0,00,00,a
230,230,0,00,00,a
231,231,0,00,00,a
232,232,0,00,00,a
233,233,0,00,00,a
234,234,0,00,00,a
235,235,0,00,00,a
236,236,0,00,00,a
237,237,0,00,00,a
238,238,0,00,00,a
239,239,0,00,00,a
240,240,0,00,00,a
241,241,0,00,00,a
242,242,0,00,00,a
243,243,0,00,00,a
244,244,0,00,00,a
245,245,0,00,00,a
246,246,0,00,00,a
247,247,0,00,00,a
248,248,0,00,00,a
249,249,0,00,00,a
250,250,0,00,00,a
251,251,0,00,00,a
252,252,0,00,00,a
253,253,0,00,00,a
254,254,0,00,00,a
255,255,0,00,00,a
256,256,0,00,00,a
257,257,0,00,00,a
258,258,0,00,00,a
259,259,0,00,00,a
260,260,0,00,00,a
261,261,0,00,00,a
262,262,0,00,00,a
263,263,0,00,00,a
264,264,0,00,00,a
265,265,0,00,00,a
266,266,0,00,00,a
267,267,0,00,00,a
268,268,0,00,00,a
269,269,0,00,00,a
270,270,0,00,00,a
271,271,0,00,00,a
272,272,0,00,00,a
273,273,0,00,00,a
274,274,0,00,00,a
275,275,0,00,00,a
276,276,0,00,00,a
277,277,0,00,00,a
278,278,0,00,00,a
279,279,0,00,00,a
280,280,0,00,00,a
281,281,0,00,00,a
282,282,0,00,00,a
283,283,0,00,00,a
284,284,0,00,00,a
285,285,0,00,00,a
286,286,0,00,00,a
287,287,0,00,00,a
288,288,0,00,00,a
289,289,0,00,00,a
290,290,0,00,00,a
291,291,0,00,00,a
292,292,0,00,00,a
293,293,0,00,00,a
294,294,0,00,00,a
295,295,0,00,00,a
296,296,0,00,00,a
297,297,0,00,00,a
298,298,0,00,00,a
299,299,0,00,00,a
300,300,0,00,00,a
301,301,0,00,00,a
302,302,0,00,00,a
303,303,0,00,00,a
304,304,0,00,00,a
305,305,0,00,00,a
306,306,0,00,00,a
307,307,0,00,00,a
308,308,0,00,00,a
309,309,0,00,00,a
310,310,0,00,00,a
311,311,0,00,00,a
312,312,0,00,00,a
313,313,0,00,00,a
314,314,0,00,00,a
315,315,0,00,00,a
316,316,0,00,00,a
317,317,0,00,00,a
318,318,0,00,00,a
319,319,0,00,00,a
320,320,0,00,00,a
321,321,0,00,00,a
322,322,0,00,00,a
323,323,0,00,00,a
324,324,0,00,00,a
325,325,0,00,00,a
326,326,0,00,00,a
327,327,0,00,00,a
328,328,0,00,00,a
329,329,0,00,00,a
330,330,0,00,00,a
331,331,0,00,00,a
332,332,0,00,00,a
333,333,0,00,00,a
334,334,0,00,00,a
335,335,0,00,00,a
336,336,0,00,00,a
337,337,0,00,00,a
338,338,0,00,00,a
339,339,0,00,00,a
340,340,0,00,00,a
341,341,0,00,00,a
342,342,0,00,00,a
343,343,0,00,00,a
344,344,0,00,00,a
345,345,0,00,00,a
346,346,0,00,00,a
347,347,0,00,00,a
348,348,0,00,00,a
349,349,0,00,00,a
350,350,0,00,00,a
351,351,0,00,00,a
352,352,0,00,00,a
353,353,0,00,00,a
354,354,0,00,00,a
355,355,0,00,00,a
356,356,0,00,00,a
357,357,0,00,00,a
358,358,0,00,00,a
359,359,0,00,00,a
360,360,0,00,00,a
361,361,0,00,00,a
362,362,0,00,00,a
363,363,0,00,00,a
364,364,0,00,00,a
365,365,0,00,00,a
366,366,0,00,00,a
367,367,0,00,00,a
368,368,0,00,00,a
369,369,0,00,00,a
370,370,0,00,00,a
371,371,0,00,00,a
372,372,0,00,00,a
373,373,0,00,00,a
374,374,0,00,00,a
375,375,0,00,00,a
376,376,0,00,00,a
377,377,0,00,00,a
378,378,0,00,00,a
379,379,0,00,00,a
380,380,0,00,00,a
381,381,0,00,00,a
382,382,0,00,00,a
383,383,0,00,00,a
384,384,0,00,00,a
385,385,0,00,00,a
386,386,0,00,00,a
387,387,0,00,00,a
388,388,0,00,00,a
389,389,0,00,00,a
390,390,0,00,00,a
391,391,0,00,00,a
392,392,0,00,00,a
393,393,0,00,00,a
394,394,0,00,00,a
395,395,0,00,00,a
396,396,0,00,00,a
397,397,0,00,00,a
398,398,0,00,00,a
399,399,0,00,00,a
400,400,0,00,00,a
401,401,0,00,00,a
402,402,0,00,00,a
403,403,0,00,00,a
404,404,0,00,00,a
405,405,0,00,00,a
406,406,0,00,00,a
407,407,0,00,00,a
408,408,0,00,00,a
409,409,0,00,00,a
410,410,0,00,00,a
411,411,0,00,00,a
412,412,0,00,00,a
413,413,0,00,00,a
414,414,0,00,00,a
415,415,0,00,00,a
416,416,0,00,00,a
417,417,0,00,00,a
418,418,0,00,00,a
419,419,0,00,00,a
420,420,0,00,00,a
421,421,0,00,00,a
422,422,0,00,00,a
423,423,0,00,00,a
424,424,0,00,00,a
425,425,0,00,00,a
426,426,0,00,00,a
427,427,0,00,00,a
428,428,0,00,00,a
429,429,0,00,00,a
430,430,0,00,00,a
431,431,0,00,00,a
432,432,0,00,00,a
433,433,0,00,00,a
434,434,0,00,00,a
435,435,0,00,00,a
436,436,0,00,00,a
437,437,0,00,00,a
438,438,0,00,00,a
439,439,0,00,00,a
440,440,0,00,00,a
441,441,0,00,00,a
442,442,0,00,00,a
443,443,0,00,00,a
444,444,0,00,00,a
445,445,0,00,00,a
446,446,0,00,00,a
447,447,0,00,00,a
448,448,0,00,00,a
449,449,0,00,00,a
450,450,0,00,00,a
451,451,0,00,00,a
452,452,0,00,00,a
453,453,0,00,00,a
454,454,0,00,00,a
455,455,0,00,00,a
456,456,0,00,00,a
457,457,0,00,00,a
458,458,0,00,00,a
459,459,0,00,00,a
460,460,0,00,00,a
461,461,0,00,00,a
462,462,0,00,00,a
463,463,0,00,00,a
464,464,0,00,00,a
465,465,0,00,00,a
466,466,0,00,00,a
467,467,0,00,00,a
468,468,0,00,00,a
469,469,0,00,00,a
470,470,0,00,00,a
471,471,0,00,00,a
472,472,0,00,00,a
473,473,0,00,00,a
474,474,0,00,00,a
475,475,0,00,00,a
476,476,0,00,00,a
477,477,0,00,00,a
478,478,0,00,00,a
479,479,0,00,00,a
480,480,0,00,00,a
481,481,0,00,00,a
482,482,0,00,00,a
483,483,0,00,00,a
484,484,0,00,00,a
485,485,0,00,00,a
486,486,0,00,00,a
487,487,0,00,00,a
488,488,0,00,00,a
489,489,0,00,00,a
490,490,0,00,00,a
491,491,0,00,00,a
492,492,0,00,00,a
493,493,0,00,00,a
494,494,0,00,00,a
495,495,0,00,00,a
496,496,0,00,00,a
497,497,0,00,00,a
498,498,0,00,00,a
499,499,0,00,00,a
500,500,0,00,00,a
501,501,0,00,00,a
502,502,0,00,00,a
503,503,0,00,00,a
504,504,0,00,00,a
505,505,0,00,00,a
506,506,0,00,00,a
507,507,0,00,00,a
508,508,0,00,00,a
509,509,0,00,00,a
510,510,0,00,00,a
511,511,0,00,00,a
512,512,1,00,00,a
513,513,0,00,00,a
514,514,0,00,00,a
515,515,0,00,00,a
516,516,0,00,00,a
517,517,0,00,00,a
518,518,0,00,00,a
519,519,0,00,00,a
520,520,0,00,00,a
521,521,0,00,00,a
522,522,0,00,00,a
523,523,0,00,00,a
524,524,0,00,00,a
525,525,0,00,00,a
526,526,0,00,00,a
527,527,0,00,00,a
528,528,0,00,00,a
529,529,0,00,00,a
530,530,0,00,00,a
531,531,0,00,00,a
532,532,0,00,00,a
533,533,0,00,00,a
534,534,0,00,00,a
535,535,0,00,00,a
536,536,0,00,00,a
537,537,0,00,00,a
538,538,0,00,00,a
539,539,0,00,00,a
540,540,0,00,00,a
541,541,0,00,00,a
542,542,0,00,00,a
543,543,0,00,00,a
544,544,0,00,00,a
545,545,0,00,00,a
546,546,0,00,00,a
547,547,0,00,00,a
548,548,0,00,00,a
549,549,0,00,00,a
550,550,0,00,00,a
551,551,0,00,00,a
552,552,0,00,00,a
553,553,0,00,00,a
554,554,0,00,00,a
555,555,0,00,00,a
556,556,0,00,00,a
557,557,0,00,00,a
558,558,0,00,00,a
559,559,0,00,00,a
560,560,0,00,00,a
561,561,0,00,00,a
562,562,0,00,00,a
563,563,0,00,00,a
564,564,0,00,00,a
565,565,0,00,00,a
566,566,0,00,00,a
567,567,0,00,00,a
568,568,0,00,00,a
569,569,0,00,00,a
570,570,0,00,00,a
571,571,0,00,00,a
572,572,0,00,00,a
573,573,0,00,00,a
574,574,0,00,00,a
575,575,0,00,00,a
576,576,0,00,00,a
577,577,0,00,00,a
578,578,0,00,00,a
579,579,0,00,00,a
580,580,0,00,00,a
581,581,0,00,00,a
582,582,0,00,00,a
583,583,0,00,00,a
584,584,0,00,00,a
585,585,0,00,00,a
586,586,0,00,00,a
587,587,0,00,00,a
588,588,0,00,00,a
589,589,0,00,00,a
590,590,0,00,00,a
591,591,0,00,00,a
592,592,0,00,00,a
593,593,0,00,00,a
594,594,0,00,00,a
595,595,0,00,00,a
596,596,0,00,00,a
597,597,0,00,00,a
598,598,0,00,00,a
599,599,0,00,00,a
600,600,0,00,00,a
601,601,0,00,00,a
602,602,0,00,00,a
603,603,0,00,00,a
604,604,0,00,00,a
605,605,0,00,00,a
606,606,0,00,00,a
607,607,0,00,00,a
608,608,0,00,00,a
609,609,0,00,00,a
610,610,0,00,00,a
611,611,0,00,00,a
612,612,0,00,00,a
613,613,0,00,00,a
614,614,0,00,00,a
615,615,0,00,00,a
616,616,0,00,00,a
617,617,0,00,00,a
618,618,0,00,00,a
619,619,0,00,00,a
620,620,0,00,00,a
621,621,0,00,00,a
622,622,0,00,00,a
623,623,0,00,00,a
624,624,0,00,00,a
625,625,0,00,00,a
626,626,0,00,00,a
627,627,0,00,00,a
628,628,0,00,00,a
629,629,0,00,00,a
630,630,0,00,00,a
631,631,0,00,00,a
632,632,0,00,00,a
633,633,0,00,00,a
634,634,0,00,00,a
635,635,0,00,00,a
636,636,0,00,00,a
637,637,0,00,00,a
638,638,0,00,00,a
639,639,0,00,00,a
640,640,0,00,00,a
641,641,0,00,00,a
642,642,0,00,00,a
643,643,0,00,00,a
644,644,0,00,00,a
645,645,0,00,00,a
646,646,0,00,00,a
647,647,0,00,00,a
648,648,0,00,00,a
649,649,0,00,00,a
650,650,0,00,00,a
651,651,0,00,00,a
652,652,0,00,00,a
653,653,0,00,00,a
654,654,0,00,00,a
655,655,0,00,00,a
656,656,0,00,00,a
657,657,0,00,00,a
658,658,0,00,00,a
659,659,0,00,00,a
660,660,0,00,00,a
661,661,0,00,00,a
662,662,0,00,00,a
663,663,0,00,00,a
664,664,0,00,00,a
665,665,0,00,00,a
666,666,0,00,00,a
667,667,0,00,00,a
668,668,0,00,00,a
669,669,0,00,00,a
670,670,0,00,00,a
671,671,0,00,00,a
672,672,0,00,00,a
673,673,0,00,00,a
674,674,0,00,00,a
675,675,0,00,00,a
676,676,0,00,00,a
677,677,0,00,00,a
678,678,0,00,00,a
679,679,0,00,00,a
680,680,0,00,00,a
681,681,0,00,00,a
682,682,0,00,00,a
683,683,0,00,00,a
684,684,0,00,00,a
685,685,0,00,00,a
686,686,0,00,00,a
687,687,0,00,00,a
688,688,0,00,00,a
689,689,0,00,00,a
690,690,0,00,00,a
691,691,0,00,00,a
692,692,0,00,00,a
693,693,0,00,00,a
694,694,0,00,00,a
695,695,0,00,00,a
696,696,0,00,00,a
697,697,0,00,00,a
698,698,0,00,00,a
699,699,0,00,00,a
700,700,0,00,00,a
701,701,0,00,00,a
702,702,0,00,00,a
703,703,0,00,00,a
704,704,0,00,00,a
705,705,0,00,00,a
706,706,0,00,00,a
707,707,0,00,00,a
708,708,0,00,00,a
709,709,0,00,00,a
710,710,0,00,00,a
711,711,0,00,00,a
712,712,0,00,00,a
713,713,0,00,00,a
714,714,0,00,00,a
715,715,0,00,00,a
716,716,0,00,00,a
717,717,0,00,00,a
718,718,0,00,00,a
719,719,0,00,00,a
720,720,0,00,00,a
721,721,0,00,00,a
722,722,0,00,00,a
723,723,0,00,00,a
724,724,0,00,00,a
725,725,0,00,00,a
726,726,0,00,00,a
727,727,0,00,00,a
728,728,0,00,00,a
729,729,0,00,00,a
730,730,0,00,00,a
731,731,0,00,00,a
732,732,0,00,00,a
733,733,0,00,00,a
734,734,0,00,00,a
735,735,0,00,00,a
736,736,0,00,00,a
737,737,0,00,00,a
738,738,0,00,00,a
739,739,0,00,00,a
740,740,0,00,00,a
741,741,0,00,00,a
742,742,0,00,00,a
743,743,0,00,00,a
744,744,0,00,00,a
745,745,0,00,00,a
746,746,0,00,00,a
747,747,0,00,00,a
748,748,0,00,00,a
749,749,0,00,00,a
750,750,0,00,00,a
751,751,0,00,00,a
752,752,0,00,00,a
753,753,0,00,00,a
754,754,0,00,00,a
755,755,0,00,00,a
756,756,0,00,00,a
757,757,0,00,00,a
758,758,0,00,00,a
759,759,0,00,00,a
760,760,0,00,00,a
761,761,0,00,00,a
762,762,0,00,00,a
763,763,0,00,00,a
764,764,0,00,00,a
765,765,0,00,00,a
766,766,0,00,00,a
767,767,0,00,00,a
768,768,0,00,00,a
769,769,0,00,00,a
770,770,0,00,00,a
771,771,0,00,00,a
772,772,0,00,00,a
773,773,0,00,00,a
774,774,0,00,00,a
775,775,0,00,00,a
776,776,0,00,00,a
777,777,0,00,00,a
778,778,0,00,00,a
779,779,0,00,00,a
780,780,0,00,00,a
781,781,0,00,00,a
782,782,0,00,00,a
783,783,0,00,00,a
784,784,0,00,00,a
785,785,0,00,00,a
786,786,0,00,00,a
787,787,0,00,00,a
788,788,0,00,00,a
789,789,0,00,00,a
790,790,0,00,00,a
791,791,0,00,00,a
792,792,0,00,00,a
793,793,0,00,00,a
794,794,0,00,00,a
795,795,0,00,00,a
796,796,0,00,00,a
797,797,0,00,00,a
798,798,0,00,00,a
799,799,0,00,00,a
800,800,0,00,00,a
801,801,0,00,00,a
802,802,0,00,00,a
803,803,0,00,00,a
804,804,0,00,00,a
805,805,0,00,00,a
806,806,0,00,00,a
807,807,0,00,00,a
808,808,0,00,00,a
809,809,0,00,00,a
810,810,0,00,00,a
811,811,0,00,00,a
812,812,0,00,00,a
813,813,0,00,00,a
814,814,0,00,00,a
815,815,0,00,00,a
816,816,0,00,00,a
817,817,0,00,00,a
818,818,0,00,00,a
819,819,0,00,00,a
820,820,0,00,00,a
821,821,0,00,00,a
822,822,0,00,00,a
823,823,0,00,00,a
824,824,0,00,00,a
825,825,0,00,00,a
826,826,0,00,00,a
827,827,0,00,00,a
828,828,0,00,00,a
829,829,0,00,00,a
830,830,0,00,00,a
831,831,0,00,00,a
832,832,0,00,00,a
833,833,0,00,00,a
834,834,0,00,00,a
835,835,0,00,00,a
836,836,0,00,00,a
837,837,0,00,00,a
838,838,0,00,00,a
839,839,0,00,00,a
840,840,0,00,00,a
841,841,0,00,00,a
842,842,0,00,00,a
843,843,0,00,00,a
844,844,0,00,00,a
845,845,0,00,00,a
846,846,0,00,00,a
847,847,0,00,00,a
848,848,0,00,00,a
849,849,0,00,00,a
850,850,0,00,00,a
851,851,0,00,00,a
852,852,0,00,00,a
853,853,0,00,00,a
854,854,0,00,00,a
855,855,0,00,00,a
856,856,0,00,00,a
857,857,0,00,00,a
858,858,0,00,00,a
859,859,0,00,00,a
860,860,0,00,00,a
861,861,0,00,00,a
862,862,0,00,00,a
863,863,0,00,00,a
864,864,0,00,00,a
865,865,0,00,00,a
866,866,0,00,00,a
867,867,0,00,00,a
868,868,0,00,00,a
869,869,0,00,00,a
870,870,0,00,00,a
871,871,0,00,00,a
872,872,0,00,00,a
873,873,0,00,00,a
874,874,0,00,00,a
875,875,0,00,00,a
876,876,0,00,00,a
877,877,0,00,00,a
878,878,0,00,00,a
879,879,0,00,00,a
880,880,0,00,00,a
881,881,0,00,00,a
882,882,0,00,00,a
883,883,0,00,00,a
884,884,0,00,00,a
885,885,0,00,00,a
886,886,0,00,00,a
887,887,0,00,00,a
888,888,0,00,00,a
889,889,0,00,00,a
890,890,0,00,00,a
891,891,0,00,00,a
892,892,0,00,00,a
893,893,0,00,00,a
894,894,0,00,00,a
895,895,0,00,00,a
896,896,0,00,00,a
897,897,0,00,00,a
898,898,0,00,00,a
899,899,0,00,00,a
900,900,0,00,00,a
901,901,0,00,00,a
902,902,0,00,00,a
903,903,0,00,00,a
904,904,0,00,00,a
905,905,0,00,00,a
906,906,0,00,00,a
907,907,0,00,00,a
908,908,0,00,00,a
909,909,0,00,00,a
910,910,0,00,00,a
911,911,0,00,00,a
912,912,0,00,00,a
913,913,0,00,00,a
914,914,0,00,00,a
915,915,0,00,00,a
916,916,0,00,00,a
917,917,0,00,00,a
918,918,0,00,00,a
919,919,0,00,00,a
920,920,0,00,00,a
921,921,0,00,00,a
922,922,0,00,00,a
923,923,0,00,00,a
924,924,0,00,00,a
925,925,0,00,00,a
926,926,0,00,00,a
927,927,0,00,00,a
928,928,0,00,00,a
929,929,0,00,00,a
930,930,0,00,00,a
931,931,0,00,00,a
932,932,0,00,00,a
933,933,0,00,00,a
934,934,0,00,00,a
935,935,0,00,00,a
936,936,0,00,00,a
937,937,0,00,00,a
938,938,0,00,00,a
939,939,0,00,00,a
940,940,0,00,00,a
941,941,0,00,00,a
942,942,0,00,00,a
943,943,0,00,00,a
944,944,0,00,00,a
945,945,0,00,00,a
946,946,0,00,00,a
947,947,0,00,00,a
948,948,0,00,00,a
949,949,0,00,00,a
950,950,0,00,00,a
951,951,0,00,00,a
952,952,0,00,00,a
953,953,0,00,00,a
954,954,0,00,00,a
955,955,0,00,00,a
956,956,0,00,00,a
957,957,0,00,00,a
958,958,0,00,00,a
959,959,0,00,00,a
960,960,0,00,00,a
961,961,0,00,00,a
962,962,0,00,00,a
963,963,0,00,00,a
964,964,0,00,00,a
965,965,0,00,00,a
966,966,0,00,00,a
967,967,0,00,00,a
968,968,0,00,00,a
969,969,0,00,00,a
970,970,0,00,00,a
971,971,0,00,00,a
972,972,0,00,00,a
973,973,0,00,00,a
974,974,0,00,00,a
975,975,0,00,00,a
976,976,0,00,00,a
977,977,0,00,00,a
978,978,0,00,00,a
979,979,0,00,00,a
980,980,0,00,00,a
981,981,0,00,00,a
982,982,0,00,00,a
983,983,0,00,00,a
984,984,0,00,00,a
985,985,0,00,00,a
986,986,0,00,00,a
987,987,0,00,00,a
988,988,0,00,00,a
989,989,0,00,00,a
990,990,0,00,00,a
991,991,0,00,00,a
992,992,0,00,00,a
993,993,0,00,00,a
994,994,0,00,00,a
995,995,0,00,00,a
996,996,0,00,00,a
997,997,0,00,00,a
998,998,0,00,00,a
999,999,0,00,00,a
1000,1000,0,00,00,a
1001,1001,0,00,00,a
1002,1002,0,00,00,a
1003,1003,0,00,00,a
1004,1004,0,00,00,a
1005,1005,0,00,00,a
1006,1006,0,00,00,a
1007,1007,0,00,00,a
1008,1008,0,00,00,a
1009,1009,0,00,00,a
1010,1010,0,00,00,a
1011,1011,0,00,00,a
1012,1012,0,00,00,a
1013,1013,0,00,00,a
1014,1014,0,00,00,a
1015,1015,0,00,00,a
1016,1016,0,00,00,a
1017,1017,0,00,00,a
1018,1018,0,00,00,a
1019,1019,0,00,00,a
1020,1020,0,00,00,a
1021,1021,0,00,00,a
1022,1022,0,00,00,a
1023,1023,0,00,00,a
